date,rank,game,side,price,ds,clv,result
08-18,1,TOR@TB,N,-136,68.7,,T
08-18,2,ARI@BOS,N,-122,60.7,,T
08-18,3,SEA@MIL,N,-128,60.0,,T
08-17,1,MIA@PHI,N,-113,73.0,+2.9,W
08-17,2,BAL@TB,N,-113,64.5,+6.5,W
08-17,3,SD@NYM,N,-136,63.8,+2.4,L
08-14,1,BOS@PIT,N,-142,72.6,,W
08-14,2,ARI@ATL,N,,70.5,,L
08-14,3,MIA@CIN,N,-150,69.7,,W
08-13,1,MIL@LAD,N,-112,68.3,,W
08-12,1,PHI@STL,N,-127,69.1,,W
08-12,2,MIL@SD,N,-120,68.9,,W
08-12,3,BOS@TOR,N,-147,67.8,,W
08-12,4,TEX@LAA,N,+111,,,W
08-11,1,PHI@STL,N,-122,62.5,,W
08-11,1,BOS@TOR,N,-157,,,W
08-11,2,CIN@CWS,N,-118,62.4,,L
08-11,3,PIT@MIA,N,-150,,,W
08-11,4,MIL@SD,N,-118,,,W
08-10,1,MIL@SD,N,-142,79.4,,W
08-10,2,NYM@ATL,N,-111,70.2,,L
08-10,3,KC@LAD,N,-122,62.8,,L
08-09,1,ATL@NYY,N,-109,64.7,,W
08-09,2,TOR@PHI,N,-113,61.6,,W
08-09,3,CLE@CWS,N,-111,,,L
08-08,1,LAA@MIA,N,-140,76.9,,W
08-08,2,CIN@WSH,N,-120,72.4,,W
08-08,3,ATL@NYY,N,-128,68.9,,W
08-07,1,TOR@PHI,N,-128,64.9,,W
08-07,2,LAD@ARI,N,-106,59.8,,W
08-07,3,COL@STL,N,-113,58.9,,W
08-06,1,TOR@CHC,N,-122,,,L
08-06,2,PIT@MIL,N,-127,,,L
08-05,1,MIA@ATL,N,-111,64.2,,W
08-05,2,NYM@CLE,N,-115,61.1,,W
08-05,3,LAA@BAL,N,-118,60.9,,W
08-05,3,LAD@CHC,N,+130,,,L
08-05,4,ATH@CIN,N,+114,,,L
08-04,1,PIT@MIL,N,-141,74.6,,W
08-04,2,MIA@ATL,N,-102,65.0,,W
08-04,3,LAD@CHC,N,-113,59.9,,W
08-03,1,WSH@PHI,N,+110,,,L
08-03,2,SD@ARI,N,-107,,,W
08-03,3,PIT@MIL,N,-108,,,W
08-02,1,PHI@BAL,N,-130,,,W
08-02,2,SF@SD,N,-125,,,W
08-02,3,BOS@LAD,N,-115,,,L
08-01,1,MIL@LAA,N,+100,,,L
07-31,1,WSH@ATL,N,-103,,,L
07-31,2,STL@TOR,N,-135,,,W
07-31,3,MIA@NYM,N,-110,,,W
07-31,4,TEX@HOU,N,-118,,,W
07-30,1,CHC@STL,N,-106,,,W
07-30,2,SEA@LAD,N,-113,,,L
