date,game,gamePk,our_p,our_pctl,our_rank,slate_n,result,thin_away,thin_home
2026-07-11,LAA@MIN,823682,0.4400,0.031,16/16,16,NRFI (he won),0,0
2026-08-07,COL@STL,823024,0.4754,0.033,15/15,15,NRFI (he won),0,0
2026-08-07,COL@STL,823024,0.4754,0.033,15/15,15,NRFI (he won),0,0
2026-07-31,MIA@NYM,823593,0.4363,0.033,15/15,15,NRFI (he won),0,0
2026-06-27,CHC@MIL,823770,0.5079,0.033,15/15,15,run (he lost),0,0
2026-06-13,STL@MIN,823694,0.4757,0.033,15/15,15,run (he lost),0,0
2026-05-24,COL@AZ,825081,0.4658,0.033,15/15,15,run (he lost),0,0
2026-05-24,COL@AZ,825081,0.4658,0.033,15/15,15,run (he lost),0,0
2026-06-21,PIT@COL,824343,0.4716,0.036,14/14,14,NRFI (he won),1,0
2026-06-08,HOU@LAA,824025,0.5007,0.063,8/8,8,NRFI (he won),0,1
2026-08-09,TOR@PHI,823425,0.4589,0.100,14/15,15,NRFI (he won),0,0
2026-08-09,TOR@PHI,823425,0.4589,0.100,14/15,15,NRFI (he won),0,0
2026-08-07,LAD@AZ,825051,0.4802,0.100,14/15,15,NRFI (he won),0,0
2026-08-07,LAD@AZ,825051,0.4802,0.100,14/15,15,NRFI (he won),0,0
2026-08-05,LAD@CHC,824646,0.4315,0.100,14/15,15,run (he lost),0,0
2026-07-05,PIT@WSH,822715,0.4854,0.100,14/15,15,NRFI (he won),0,0
2026-05-19,LAD@SD,823302,0.5279,0.100,14/15,15,run (he lost),0,1
2026-06-21,BAL@LAD,823934,0.5023,0.107,13/14,14,run (he lost),0,0
2026-07-04,MIA@ATH,824983,0.4440,0.167,13/15,15,NRFI (he won),0,0
2026-06-23,MIL@CIN,824501,0.4760,0.167,13/15,15,NRFI (he won),0,0
2026-04-22,SD@COL,824367,0.5019,0.167,13/15,15,run (he lost),1,1
2026-07-22,DET@CHC,824650,0.5169,0.206,14/17,17,run (he lost),0,0
2026-07-11,CLE@MIA,823844,0.5143,0.219,13/16,16,NRFI (he won),0,0
2026-07-11,CLE@MIA,823844,0.5143,0.219,13/16,16,NRFI (he won),0,0
2026-08-04,MIA@ATL,824888,0.5066,0.233,12/15,15,NRFI (he won),0,0
2026-08-04,MIA@ATL,824888,0.5066,0.233,12/15,15,NRFI (he won),0,0
2026-08-04,MIA@ATL,824888,0.5066,0.233,12/15,15,NRFI (he won),0,0
2026-08-04,MIA@ATL,824888,0.5066,0.233,12/15,15,NRFI (he won),0,0
2026-06-21,NYM@PHI,823449,0.5136,0.250,11/14,14,run (he lost),0,0
2026-06-20,SD@TEX,822885,0.5170,0.250,11/14,14,NRFI (he won),0,0
2026-06-19,SD@TEX,822886,0.4955,0.250,11/14,14,run (he lost),0,0
2026-05-23,STL@CIN,824516,0.5071,0.250,11/14,14,NRFI (he won),0,1
2026-05-11,SF@LAD,823953,0.5584,0.250,5/6,6,NRFI (he won),1,0
2026-05-11,SF@LAD,823953,0.5584,0.250,5/6,6,NRFI (he won),1,0
2026-05-11,SF@LAD,823953,0.5584,0.250,5/6,6,NRFI (he won),1,0
2026-08-05,ATH@CIN,824482,0.4842,0.300,11/15,15,run (he lost),0,0
2026-07-18,DET@LAA,824008,0.5028,0.300,11/15,15,run (he lost),0,0
2026-06-26,TEX@TOR,822796,0.5477,0.300,11/15,15,run (he lost),0,0
2026-06-26,TEX@TOR,822796,0.5477,0.300,11/15,15,run (he lost),0,0
2026-06-09,LAD@PIT,823374,0.5179,0.300,11/15,15,run (he lost),0,0
2026-06-03,COL@LAA,824024,0.5196,0.300,11/15,15,NRFI (he won),0,0
2026-06-03,COL@LAA,824024,0.5196,0.300,11/15,15,NRFI (he won),0,0
2026-05-13,MIA@MIN,823710,0.5160,0.300,11/15,15,run (he lost),0,0
